naziv,vrsta
PlayerUnknown's Battlegrounds,Battle royale
Minecraft,"Sandbox, survival"
Diablo III,Action role-playing
Garry's Mod,Sandbox
Terraria,Action-adventure
World of Warcraft,MMORPG
Half-Life 2,First-person shooter
The Witcher 3: Wild Hunt,Action role-playing
The Sims,Life simulation
StarCraft,Real-time strategy
RollerCoaster Tycoon 3,Construction and management simulation
Fall Guys,Battle royale
Half-Life,First-person shooter
Rust,Survival
Civilization V,"Turn-based strategy, 4X"
The Sims 3,Life simulation
Euro Truck Simulator 2,Vehicle simulation
Myst,"Adventure, puzzle"
The Sims 2,Life simulation
Guild Wars,MMORPG
StarCraft II: Wings of Liberty,Real-time strategy
Valheim,Survival
Last Ninja 2,Action-adventure
ARMA 3,Tactical shooter
SimCity 3000,City-building
Guild Wars 2,MMORPG
Cities: Skylines,City-building
The Forest,Survival
Cyberpunk 2077,Action role-playing
The Last Ninja,Action-adventure
Riven,Graphic adventure
Diablo II,Action role-playing
DayZ,Survival
Where in the World Is Carmen Sandiego?,Educational
Populous,God game
RollerCoaster Tycoon,Construction and management simulation
"Warhammer 40,000: Dawn of War (including expansions)",Real-time strategy
Dark Souls,Action role-playing
Dark Souls III,Action role-playing
Theme Park,Construction and management simulation
Command & Conquer,Real-time strategy
Command & Conquer: Red Alert,Real-time strategy
Age of Empires,Real-time strategy
EverQuest,MMORPG
Warcraft III: Reign of Chaos,Real-time strategy
Doom 3,"First-person shooter, survival horror"
Civilization IV,"Turn-based strategy, 4X"
Crysis,First-person shooter
Life Is Strange,Graphic adventure
Dark Souls II,Action role-playing
Lords of the Realm II,Turn-based strategy
Caesar II,City-building game
Caesar III,City-building game
Factorio,Construction and management simulation
Final Fantasy VII,Role-playing game
Grand Theft Auto V,Action-adventure
Doom,First-person shooter
Doom II: Hell on Earth,First-person shooter
Warcraft II: Tides of Darkness,Real-time strategy
Diablo,Action role-playing
POD,Racing game
Anno 1602,City-building
Baldur's Gate,Role-playing game
Age of Empires II: The Age of Kings,Real-time strategy
Baldur's Gate II: Shadows of Amn,Computer role-playing game
Black & White,God game
Civilization III,"Turn-based strategy, 4X"
Neverwinter Nights,Role-playing game
Stronghold: Crusader,Real-time strategy
Mafia: The City of Lost Heaven,Third-person shooter
Battlefield 1942,First-person shooter
SimCity 4,City-building
Anno 1503,City-building
Counter-Strike: Condition Zero,First-person shooter
Far Cry,First-person shooter
Age of Empires III,Real-time strategy
Magicka,Action-adventure
Counter-Strike: Source,First-person shooter
Cossacks II: Napoleonic Wars,Real-time strategy
The Witcher,Action role-playing
Spore,God game
The Witcher 2: Assassins of Kings,Action role-playing
The Binding of Isaac,"Action-adventure, roguelike"
SimCity,City-building
Space Engineers,Simulation
7 Days to Die,Survival horror
Planet Coaster,Construction and management simulation
Stickfight: The Game,Fighting
Metal Gear Solid V: The Phantom Pain,"Action-adventure, stealth"
Sega Mega Drive and Genesis Classics,Compilation
American Truck Simulator,Vehicle simulation
Stellaris,"RTS, 4X, Grand Strategy"
Ultra Street Fighter IV,Fighting
Resident Evil 6,"Third-person shooter, survival horror"
Satisfactory,Construction and management simulation
Resident Evil 4: Ultimate HD Edition,"Third-person shooter, survival horror"
Nier: Automata,"Action role-playing, hack and slash"
Machinarium,"Graphic adventure, puzzle"
Pac-Man Championship Edition DX+,"Maze, arcade"
Kingdom Come: Deliverance,Action role-playing game
Hydlide,Action role-playing
RoboCop,"Beat 'em up, run-and-gun"
Return to Zork,Adventure
Star Wars: Rebel Assault,Rail shooter
Wing Commander 3: Heart of the Tiger,Space combat simulation
Full Throttle,Graphic adventure
Phantasmagoria,Interactive movie
Daryl F. Gates' Police Quest: SWAT,Interactive movie
Duke Nukem 3D,First-person shooter
Civilization II,"Turn-based strategy, 4X"
Quake,First-person shooter
Grand Prix 2,Sim racing
Total Annihilation,Real-time strategy
Frogger,Action
Deer Hunter,Sports
Blade Runner,Point-and-click
Quake II,First-person shooter
Unreal,First-person shooter
Commandos: Behind Enemy Lines,Real-time tactics
Railroad Tycoon II,Construction and management simulation
Hidden & Dangerous,Action
Command & Conquer: Tiberian Sun,Real-time strategy
Who Wants to Be a Millionaire?,Trivia game
Unreal Tournament,First-person shooter
American McGee's Alice,"Action-adventure, platformer"
Command & Conquer: Red Alert 2,Real-time strategy
Tropico,Construction and management simulation
Operation Flashpoint: Cold War Crisis,Tactical shooter
Runaway: A Road Adventure,Adventure
Zoo Tycoon,Business simulation
Stronghold,Real-time strategy
Empire Earth,Real-time strategy
Harry Potter and the Philosopher's Stone,Action-adventure
Return to Castle Wolfenstein,First-person shooter
Dungeon Siege,Role-playing game
Hotel Giant,Business simulation
Age of Mythology,Real-time strategy
Vietcong,Tactical shooter
Star Wars Galaxies,MMORPG
The Legend of Sword and Fairy 3,Role-playing game
Hidden & Dangerous 2,Action
Patrician III: Rise of the Hanse,Business simulation
Battlefield Vietnam,First-person shooter
Sacred,Action role-playing
Rome: Total War,Real-time strategy
Psychonauts,Platform
Dungeon Lords,Role-playing game
Imperivm: Great Battles of Rome,Real-time strategy
Glory of the Roman Empire,City-building game
Microsoft Flight Simulator X,Amateur flight simulation
Supreme Commander,Real-time strategy
Command & Conquer 3: Tiberium Wars,Real-time strategy
BioShock,First-person shooter
Crysis Warhead,First-person shooter
Warhammer Online: Age of Reckoning,MMORPG
Killing Floor,First-person shooter
Resident Evil 5,"Third-person shooter, survival horror"
The Legend of Sword and Fairy 5,Role-playing game
Crusader Kings II,Grand strategy
Prison Architect,Construction and management simulation
StarCraft II: Heart of the Swarm,Real-time strategy
Europa Universalis IV,Grand strategy
The Stanley Parable,Interactive fiction
Just Survive[e],Survival
Ark: Survival Evolved,"Action-adventure, Survival"
StarCraft II: Legacy of the Void,Real-time strategy
Stardew Valley,"Simulation, role-playing game"
Hearts of Iron IV,"Real-time strategy, grand strategy wargame"
Hollow Knight,Metroidvania
Divinity: Original Sin II,Role-playing game
Cuphead,Run and gun
Mordhau,Action
Crusader Kings III,Grand strategy
